Datetime (he),PV Gen (kW/rated kW),System Load (kW),EV fleet/1,EV fleet/2,Site Load (kW),FR Price ($/kW),DA Price ($/kWh),Reg Up Price ($/kW),Reg Down Price ($/kW),Deferral Load (kW),NSR Price ($/kW),SR Price ($/kW),RA Active (y/n),VAR Reservation (%),POI: Max Export (kW),POI: Max Import (kW),Aggregate Energy Max (kWh),Aggregate Energy Min (kWh),Critical Load (kW),Battery: Charge Min (kW)/1,Battery: Charge Max (kW)/1,Battery: Energy Max (kWh)/1,Battery: Energy Min (kWh)/1,Battery: Discharge Min (kW)/1,Battery: Discharge Max (kW)/1,FR Reg Up Max (kW),FR Reg Up Min (kW),FR Reg Down Max (kW),FR Reg Down Min (kW),SR Max (kW),SR Min (kW),NSR Max (kW),NSR Min (kW),LF Reg Up Max (kW),LF Reg Up Min (kW),LF Reg Down Max (kW),LF Reg Down Min (kW),LF Price ($/kW),LF Down Price ($/kW),LF Up Price ($/kW),LF Energy Option Up (kWh/kW-hr),LF Energy Option Down (kWh/kW-hr)
1/1/2056 0:00,0,0,151200,30000,0,0,0.139600007,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 1:00,0,0,151200,30000,0,0,0.135462335,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 2:00,0,0,151200,30000,0,0,0.132038876,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 3:00,0,0,151200,30000,0,0,0.131443699,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 4:00,0,0,151200,30000,0,0,0.134814782,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 5:00,0,0,151200,30000,0,0,0.128362381,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 6:00,0,0,151200,30000,0,0,0.133243514,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 7:00,0,0,151200,30000,0,0,0.082676414,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 8:00,0.043565718,0,151200,30000,0,0,0.080809131,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 9:00,0.082437533,0,151200,30000,0,0,0.068149689,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 10:00,0.104892397,0,151200,30000,0,0,0.06092011,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 11:00,0.18200097,0,151200,30000,0,0,0.054381548,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 12:00,0.184934093,0,151200,30000,0,0,0.050078812,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 13:00,0.436541851,0,151200,30000,0,0,0.049998961,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 14:00,0.52196711,0,151200,30000,0,0,0.057044269,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 15:00,0.477291641,0,151200,30000,0,0,0.079350316,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 16:00,0.069609334,0,151200,30000,0,0,0.107190647,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 17:00,0,0,151200,30000,0,0,0.132712229,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 18:00,0,0,151200,30000,0,0,0.129379989,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 19:00,0,0,151200,30000,0,0,0.120519608,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 20:00,0,0,151200,30000,0,0,0.116100167,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 21:00,0,0,151200,30000,0,0,0.108830662,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 22:00,0,0,151200,30000,0,0,0.102378093,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/1/2056 23:00,0,0,151200,30000,0,0,0.144404278,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 0:00,0,0,151800,30000,0,0,0.138976261,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 1:00,0,0,151800,30000,0,0,0.134072001,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 2:00,0,0,151800,30000,0,0,0.132729281,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 3:00,0,0,151800,30000,0,0,0.131738906,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 4:00,0,0,151800,30000,0,0,0.132819748,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 5:00,0,0,151800,30000,0,0,0.124379115,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 6:00,0,0,151800,30000,0,0,0.149860862,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 7:00,0.008902978,0,151800,30000,0,0,0.143390096,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 8:00,0.063805481,0,151800,30000,0,0,0.121025717,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 9:00,0.130104755,0,151800,30000,0,0,0.096413948,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 10:00,0.122994618,0,151800,30000,0,0,0.086287773,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 11:00,0.107635855,0,151800,30000,0,0,0.077200267,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 12:00,0.125686891,0,151800,30000,0,0,0.071687906,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 13:00,0.327825282,0,151800,30000,0,0,0.070844455,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 14:00,0.287414508,0,151800,30000,0,0,0.0831534,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 15:00,0.121280938,0,151800,30000,0,0,0.118264094,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 16:00,0.039998794,0,151800,30000,0,0,0.159750327,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 17:00,0,0,151800,30000,0,0,0.204621928,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 18:00,0,0,151800,30000,0,0,0.199179628,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 19:00,0,0,151800,30000,0,0,0.188428346,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 20:00,0,0,151800,30000,0,0,0.178934079,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 21:00,0,0,151800,30000,0,0,0.169177934,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 22:00,0,0,151800,30000,0,0,0.154098524,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/2/2056 23:00,0,0,151800,30000,0,0,0.141571234,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 0:00,0,0,151800,30000,0,0,0.137095501,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 1:00,0,0,151800,30000,0,0,0.131505597,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 2:00,0,0,151800,30000,0,0,0.128039285,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 3:00,0,0,151800,30000,0,0,0.126929875,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 4:00,0,0,151800,30000,0,0,0.13211982,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 5:00,0,0,151800,30000,0,0,0.151441653,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 6:00,0,0,151800,30000,0,0,0.156484675,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 7:00,0.006802762,0,151800,30000,0,0,0.106803677,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 8:00,0.050777666,0,151800,30000,0,0,0.100068559,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 9:00,0.066283843,0,151800,30000,0,0,0.083993954,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 10:00,0.111026754,0,151800,30000,0,0,0.077648877,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 11:00,0.141620191,0,151800,30000,0,0,0.074835668,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 12:00,0.186273714,0,151800,30000,0,0,0.070545217,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 13:00,0.129113385,0,151800,30000,0,0,0.070158247,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 14:00,0.194509331,0,151800,30000,0,0,0.074829526,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 15:00,0.114286024,0,151800,30000,0,0,0.089239546,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 16:00,0.016630122,0,151800,30000,0,0,0.117730968,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 17:00,0,0,151800,30000,0,0,0.139800534,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 18:00,0,0,151800,30000,0,0,0.151661467,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 19:00,0,0,151800,30000,0,0,0.137257589,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 20:00,0,0,151800,30000,0,0,0.124951334,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 21:00,0,0,151800,30000,0,0,0.112973696,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 22:00,0,0,151800,30000,0,0,0.104134813,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/3/2056 23:00,0,0,151800,30000,0,0,0.146784987,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 0:00,0,0,151800,30000,0,0,0.131529404,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 1:00,0,0,151800,30000,0,0,0.126491824,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 2:00,0,0,151800,30000,0,0,0.123373095,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 3:00,0,0,151800,30000,0,0,0.121892295,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 4:00,0,0,151800,30000,0,0,0.126677519,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 5:00,0,0,151800,30000,0,0,0.146408835,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 6:00,0,0,151800,30000,0,0,0.179867317,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 7:00,0.051435049,0,151800,30000,0,0,0.121781867,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 8:00,0.284304667,0,151800,30000,0,0,0.09937447,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 9:00,0.347784965,0,151800,30000,0,0,0.085035088,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 10:00,0.484538195,0,151800,30000,0,0,0.076042645,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 11:00,0.324136343,0,151800,30000,0,0,0.070711061,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 12:00,0.181488591,0,151800,30000,0,0,0.067010278,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 13:00,0.374350852,0,151800,30000,0,0,0.068459879,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 14:00,0.323474809,0,151800,30000,0,0,0.076540178,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 15:00,0.217969075,0,151800,30000,0,0,0.093262804,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 16:00,0.055956258,0,151800,30000,0,0,0.118722962,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 17:00,0,0,151800,30000,0,0,0.14854421,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 18:00,0,0,151800,30000,0,0,0.145224254,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 19:00,0,0,151800,30000,0,0,0.133710366,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 20:00,0,0,151800,30000,0,0,0.125307592,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 21:00,0,0,151800,30000,0,0,0.111425817,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 22:00,0,0,151800,30000,0,0,0.09973687,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/4/2056 23:00,0,0,151800,30000,0,0,0.142671122,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 0:00,0,0,151800,30000,0,0,0.128129752,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 1:00,0,0,151800,30000,0,0,0.124339663,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 2:00,0,0,151800,30000,0,0,0.121720884,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 3:00,0,0,151800,30000,0,0,0.121016194,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 4:00,0,0,151800,30000,0,0,0.126049012,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 5:00,0,0,151800,30000,0,0,0.147289697,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 6:00,0,0,151800,30000,0,0,0.181733793,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 7:00,0,0,151800,30000,0,0,0.121800294,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 8:00,0.029720185,0,151800,30000,0,0,0.097940225,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 9:00,0.063931725,0,151800,30000,0,0,0.087059001,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 10:00,0.081116968,0,151800,30000,0,0,0.08098726,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 11:00,0.247619121,0,151800,30000,0,0,0.077280335,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 12:00,0.300307703,0,151800,30000,0,0,0.072363361,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 13:00,0.112489376,0,151800,30000,0,0,0.073972664,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 14:00,0.070088409,0,151800,30000,0,0,0.080247104,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 15:00,0.047926188,0,151800,30000,0,0,0.094448283,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 16:00,0.011989114,0,151800,30000,0,0,0.122795359,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 17:00,0,0,151800,30000,0,0,0.159155169,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 18:00,0,0,151800,30000,0,0,0.146744493,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 19:00,0,0,151800,30000,0,0,0.133378677,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 20:00,0,0,151800,30000,0,0,0.126523783,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 21:00,0,0,151800,30000,0,0,0.114570714,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 22:00,0,0,151800,30000,0,0,0.100989916,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/5/2056 23:00,0,0,151800,30000,0,0,0.140552291,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 0:00,0,0,151800,30000,0,0,0.127463153,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 1:00,0,0,151800,30000,0,0,0.123196923,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 2:00,0,0,151800,30000,0,0,0.121792305,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 3:00,0,0,151800,30000,0,0,0.120949534,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 4:00,0,0,151800,30000,0,0,0.126910829,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 5:00,0,0,151800,30000,0,0,0.146737372,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 6:00,0,0,151800,30000,0,0,0.182214696,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 7:00,0,0,151800,30000,0,0,0.116453353,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 8:00,0.044821606,0,151800,30000,0,0,0.09723078,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 9:00,0.099044312,0,151800,30000,0,0,0.087780731,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 10:00,0.125036975,0,151800,30000,0,0,0.078557949,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 11:00,0.116442311,0,151800,30000,0,0,0.074328922,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 12:00,0.139245733,0,151800,30000,0,0,0.071079604,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 13:00,0.14447175,0,151800,30000,0,0,0.072504635,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 14:00,0.105314095,0,151800,30000,0,0,0.076985501,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 15:00,0.077193393,0,151800,30000,0,0,0.090790496,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 16:00,0.025879896,0,151800,30000,0,0,0.117227293,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 17:00,0,0,151800,30000,0,0,0.153175563,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 18:00,0,0,151800,30000,0,0,0.142607601,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 19:00,0,0,151800,30000,0,0,0.129834525,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 20:00,0,0,151800,30000,0,0,0.123784282,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 21:00,0,0,151800,30000,0,0,0.111490312,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 22:00,0,0,151800,30000,0,0,0.100013277,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/6/2056 23:00,0,0,151800,30000,0,0,0.140390403,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 0:00,0,0,151800,30000,0,0,0.126044251,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 1:00,0,0,151800,30000,0,0,0.121349493,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 2:00,0,0,151800,30000,0,0,0.118578348,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 3:00,0,0,151800,30000,0,0,0.119211616,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 4:00,0,0,151800,30000,0,0,0.123463562,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 5:00,0,0,151800,30000,0,0,0.143332959,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 6:00,0,0,151800,30000,0,0,0.179119775,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 7:00,0.007977411,0,151800,30000,0,0,0.114183745,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 8:00,0.047235174,0,151800,30000,0,0,0.094644839,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 9:00,0.077965808,0,151800,30000,0,0,0.082685628,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 10:00,0.083209755,0,151800,30000,0,0,0.073207938,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 11:00,0.10238003,0,151800,30000,0,0,0.069359738,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 12:00,0.104979823,0,151800,30000,0,0,0.064651605,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 13:00,0.083878991,0,151800,30000,0,0,0.068186543,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 14:00,0.057368613,0,151800,30000,0,0,0.074242929,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 15:00,0.036890459,0,151800,30000,0,0,0.087946575,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 16:00,0.01074805,0,151800,30000,0,0,0.111748292,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 17:00,0,0,151800,30000,0,0,0.143086707,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 18:00,0,0,151800,30000,0,0,0.134450522,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 19:00,0,0,151800,30000,0,0,0.120633242,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 20:00,0,0,151800,30000,0,0,0.112334889,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 21:00,0,0,151800,30000,0,0,0.103465294,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
1/7/2056 22:00,0,0,151800,30000,0,0,0.095443348,0,0,0,0,0,0,0,500000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
